product_type,product_name,summary,keywords,product_code,product_price
매직프레스,해피 크리스마스(레귤러 라운드),산타와 루돌프 디자인으로 크리스마스 분위기 물씬 나는 네일,"늘이농PICK,23.11 출시,크리스마스,3D엠보,루돌프,산타",MDR3W029RR,"10,800원"
매직프레스 플러스,블랙홀(코핀),블랙 마그네틱에 풀스톤을 더해 어느 각도에서 봐도 영롱한 프리미엄 코핀 네일,,MOL2W047PC,"9,900원"
글레이즈,[2+1]  BEST 네일(젤네일) ~33%,,"33% 할인,가을 신상 2+1,신상 네일 2개 구매 시 1종 증정",,"29,600원"
매직프레스,클라우디 베어(숏 스퀘어),몽글몽글한 구름과 닮은 귀여운 3D 곰돌이 네일,"곰돌이네일,동물네일,구름네일,3D엠보네일",MDR3F008SS,"10,800원"
매직프레스,메리 루돌프(레귤러 라운드),루돌프와 트리 드로잉에 씬 프렌치를 매치한 크리스마스 네일,"23.11 출시,크리스마스,3D엠보,루돌프,트리",MDR3W019RR,"10,800원"
매직프레스,멜로우 스노우(레귤러 라운드),다양한 겨울 오브제를 품은 귀여운 토끼 눈사람 네일,"눈사람,캐릭터,3D엠보,체크",MDR3W028RR,"10,800원"
매직프레스,웨딩 링(롱 오발),손끝을 눈부시게 반짝이게 하는 은빛 웨딩링처럼 오발 쉐입 끝을  반짝이게 빛나게 하는 글리터 프렌치 웨딩 네일,"웨딩,주얼,롱오발",MWK093OL,"10,800원"
매직프레스,쉬머 퀼팅(아몬드),영롱한 자석젤 위에 3D 엠보로 모양을 낸 퀼팅 네일,"늘이농PICK,퀼팅,자석젤,마그네틱,3D",MDR3W045PA,"14,800원"
글레이즈,홀리데이 무드,차분한 컬러들과 겨울 아트가 더해진 홀리데이 네일,"홀리데이,눈꽃,트리,페미닌",ZMA441N,"14,100원"
매직프레스,스노우 플라워(레귤러 라운드),니트 질감의 파스텔 옴브레 베이스로 포근한 무드를 가진 눈꽃 네일,"23.11 출시,눈꽃,옴브레,니트,눈송이",MDR3W023RR,"10,800원"
매직프레스,러브 로지(레귤러 라운드),밝고 통통 튀는 컬러감과 디자인으로 러블리한 매력이 돋보이는 3D 젤 아트 네일,"3D젤네일,드로잉네일,체크네일",MDR2W020RR,"10,800원"
매직프레스,두 낫 디스터브(코핀),미드 센츄리 컬러와 아티스트의 감각이 느껴지는 드로잉이 어우러져 자유로운 매력의 코핀 네일,,MDR1203PC,"14,800원"
글레이즈,모브 버건디,매력적인 버건디 컬러와 은은한 모브 컬러가 고급스러운 네일,"그라데이션,옴브레,글리터",ZMA436N,"11,900원"
